,run,qps,tave_int,path_data,vert_mix_type,k_tracer_gm_kappa_parameter,k_tracer_isoneutral_parameter,leadclose_1,irad_aero,gkdrag,gkwake,gklift,entrpen,csecfrl,crs,crt,albsm,albi,albim,albs,c_n,total_salt,total_saltinseaice,total_saltinliquidwater,amoc26n,kin_energy_global,pot_energy_global,total_energy_global,ssh_global,sst_global,sss_global,potential_enstrophy_global,HeatFlux_Total_global,FrshFlux_Precipitation_global,FrshFlux_SnowFall_global,FrshFlux_Evaporation_global,FrshFlux_Runoff_global,FrshFlux_VolumeIce_global,FrshFlux_TotalOcean_global,FrshFlux_TotalIce_global,FrshFlux_VolumeTotal_global,totalsnowfall_global,ice_volume_nh,ice_volume_sh,ice_extent_nh,ice_extent_sh,global_heat_content,global_heat_content_solid,tas_gmean,rsdt_gmean,rsut_gmean,rlut_gmean,radtop_gmean,prec_gmean,evap_gmean,fwfoce_gmean
38,dap2000-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2000-r2/,2,0,0,0.5,0,0.02,0.05,nan,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.04,340.2,101.6,239.4,-0.7873,3.278e-05,-3.278e-05,-2.189e-06
43,dap2001-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1620 - 1650,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2001-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.91,340.2,101.4,239.2,-0.3965,3.253e-05,-3.253e-05,-2.087e-06
49,dap2002-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1004 - 1004,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2002-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,dap2003-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2003-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.04,340.2,103.8,237.3,-0.9411,3.208e-05,-3.208e-05,-2.054e-06
47,dap2004-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),2060 - 2090,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2004-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.61,340.2,101.8,238.6,-0.2068,3.228e-05,-3.228e-05,-2.13e-06
42,dap7020-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7020-r0/qp_index.html),1620 - 1650,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7020-r0/,2,0,0,0.25,0,0.01,0.01,0,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,5.851e+13,4.596e+19,17.45,0.0009143,3.396e-06,0.0009177,0.02016,17.64,34.4,0,-0.4633,3.65e-08,1.811e-09,-3.969e-08,3.208e-09,9.422e-11,-3.648e-09,3.673e-10,-3.452e-10,6.396e-07,1.037e+04,2710,9.729e+06,4.018e+06,nan,nan,13.91,340.2,101.4,239.2,-0.3965,3.253e-05,-3.253e-05,-2.087e-06
56,dap7021-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7021-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7021-r0/,2,0,0,0.25,0,0.05,0.05,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,10,4.596e+19,7.689e+13,4.596e+19,11.25,0.0008276,-3.732e-06,0.0008239,0.01961,17.99,34.5,0,-1.161,3.61e-08,1.129e-09,-3.926e-08,3.161e-09,9.021e-11,-3.449e-09,2.132e-10,-1.972e-10,3.55e-07,1.565e+04,1538,1.084e+07,2.428e+06,nan,nan,14.04,340.2,103.8,237.3,-0.9411,3.208e-05,-3.208e-05,-2.054e-06
58,dap7022-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7022-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7022-r0/,2,0,0,0.25,0,0.05,0.05,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,5.899e+13,4.596e+19,19.85,0.0009177,1.374e-06,0.000919,0.01416,17.83,34.43,0,-0.7321,3.629e-08,1.714e-09,-3.971e-08,3.41e-09,8.889e-11,-3.837e-09,3.389e-10,-3.375e-10,5.938e-07,1.034e+04,2846,9.566e+06,4.117e+06,nan,nan,13.9,340.2,101.6,239.1,-0.5285,3.257e-05,-3.257e-05,-2.25e-06
46,dap7023-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7023-r0/qp_index.html),2060 - 2090,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7023-r0/,2,0,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,6.241e+13,4.596e+19,17.15,0.0009488,1.751e-05,0.0009663,-0.00202,17.48,34.22,0,-0.05291,3.609e-08,1.978e-09,-3.936e-08,3.272e-09,9.716e-11,-3.791e-09,4.515e-10,-4.215e-10,7.737e-07,9218,4735,9.001e+06,6.296e+06,nan,nan,13.61,340.2,101.8,238.6,-0.2068,3.228e-05,-3.228e-05,-2.13e-06
54,dap7024-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7024-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7024-r0/,2,0,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,1,4.596e+19,5.027e+13,4.596e+19,22.7,0.000972,8.984e-06,0.0009809,0.01812,18.12,34.41,0,-0.5385,3.687e-08,1.881e-09,-4.028e-08,3.41e-09,8.589e-11,-3.884e-09,3.98e-10,-3.876e-10,6.94e-07,7351,3886,7.707e+06,5.146e+06,nan,nan,14.43,340.2,99.69,240.8,-0.2421,3.306e-05,-3.305e-05,-2.229e-06
